tag	english	spanish	RU	PT	DE	PL	CZ	TK	IT	FR
CONNECT	Connect	Conectar	Соединение	Conectar	Verbinden	Połącz	Připojit	Bağlan	Connetti	
DISCONNECT	Disconnect	Desconectar	Рассоединение	Desconectar	Trennen	Rozłącz	Odpojit	Bağlantıyı Kopar	Disconnetti	
UNKNOWN_AREA	Unknown Area	Área desconocida	Неизвестная местность	Área Desconhecida	Unbekanntes Gebiet	Nieznany obszar	Neznámá oblast	Bilinmeyen Bölge	Area sconosciuta	
UNKNOWN_REGION	You haven't explored this area yet	Todavía no has explorado esta área.	Вы здесь ещё не были	Você ainda não explorou essa área.	Du hast dieses Gebiet noch nicht erkundet.	Nie odkryto jeszcze tego obszaru	Ještě jsi tuto oblast neprozkoumal.	Bu bölgeyi henüz keşfetmedin	Non hai ancora esplorato questa area	
SHOW_TOWN_HALL	Show Townhall Quests	Mostrar misiones ayuntamiento	Отображать Задания Ратуши	Mostrar Missões da Prefeitura	Rathausaufträge anzeigen	Pokaż zadania z ratusza	Ukaž radniční úkoly	Kasaba görevlerini göster	Mostra missioni del Municipio	
NO_RUMORS	You haven't heard of any important recent rumors	No has escuchado rumores importantes recientemente	Вы не услышали свежих и важных слухов	Você não escutou nenhum rumor importante recentemente.	Du hast in letzter Zeit von keinen nennenswerten Gerüchten gehört.	Nie pojawiły się ostatnio żadne interesujące plotki	Nezaslechl jsi žádné důležité nedávný drby či zvěsti.	Önemli bir söylenti duymadın	Non hai sentito alcuna novità importante di recente	
ADDED_RUMOR_JOURNAL	You noted in your journal an important rumor.	Has anotado en tu diario un rumor importante.	Вы отметили важный слух в журнале	Você anotou em seu diário um rumor importante.	Du hast ein wichtiges Gerücht in deinem Tagebuch notiert.	Ważna plotka została zapisana w dzienniku	Do deníku sis poznamenal důležitou zvěst	Önemli bir söylentiyi günlüğüne kaydettin	Hai annotato una voce importante nel tuo diario	
SPOT_CHECK	is close enough to listen to you	está cerca y puede oirte	достаточно близко, чтобы вас услышать	está perto o suficiente para te escutar	ist nah genug, um dich zu hören.	jest na tyle blisko, aby z tobą rozmawiać	je dostatečně blízko, aby tě slyšel	seni duyacak kadar yakın	E' abbastanza vicino per sentirti	
SPOTTED	You have been spotted!	Has sido descubierto!	Вы обнаружены!	Você foi descoberto!	Du wurdest entdeckt!	Zauważono cię!	Byl jsi spatřen!	Fark edildin!	Sei stato scoperto!	
BACKUP_BUTTON	Export & Cloud Save	Exportar y Guardar en la Nube	Экспорт и Сохранение в Облако	Exportar e Salvar na Nuvem	Export & Cloud-Sicherung	Eksport i zapis w chmurze	Export a cloudové uložení	Dışa aktar & Buluta kaydet	Esporta e salva nel Cloud	
BACKUP_TITLE	Exporting your Data	Exportar tus Datos	Экспорт Ваших Данных	Exportando seus Dados	Deine Daten exportieren	Eksportowanie twoich danych	Exportuji tvá data	Kayıt dışa aktarılıyor	Esportando i tuoi dati	
BACKUP	Export your saves to a file	Exportar partidas a un fichero	Упаковать сохранения в файл	Exportar seus dados para um arquivo	Daten in eine Datei sichern	Eksportuj twoje zapisy do pliku	Export tvých uložení do souboru	Kaydını dış bir dosyaya al	Esporta i salvataggi su File	
RESTORE_BACKUP	Restore your saves from a file	Restaurar partidas de un fichero	Извлечь сохранения из файла	Restaurar dados de um arquivo	Aus einer Datei wiederherst.	Odtwórz twój zapis z pliku	Obnovení tvých uložení ze sobouru	Kayıtlarını bir dosyadan geri yükle	Ristabilisci salvataggi da file	
BACKUP_CLOUD	Save to the Cloud	Guardar en la Nube	Сохранить в Облако	Salvar na Nuvem	Daten in die Cloud sichern	Zapisz w chmurze	Ulož do cloudu	Buluta kaydet	Salva nel Cloud	
BACKUP_WAIT	Processing...	Procesando...	В процессе	Processando...	Verarbeitung...	Przetwarzanie...	Zpracovávám...	İşleniyor	In processo...	
RESTORE_BACKUP_CLOUD	Restore from the Cloud	Restaurar desde la Nube	Восстановить из Облака	Restaurar dados da Nuvem	Aus der Cloud wiederherst.	Odtwóz zapis z chmury	Obnovení z cloudu	Buluttan geri yükle	Ristabilisci dal Cloud	
DETECTS	detected	descubre	обнаруживает	detectado	entdeckt	wykryto	zjištěn	fark edildi	Trovato	
TRIES_DISARM	tries to disarm	intenta desactivar	пытается обезвредить	tenta desarmar	versucht zu entschärfen	próbuje rozbroić	pokus o zneškodnění	etkisiz hale getirmeye çalışıyor	prova a disarmare	
DISARM_FAIL	... But fails!	... Pero falla!	...но терпит неудачу!	... Mas falha!	... Aber scheitert!	..., ale myli się!	... selhal!	lakin başarısız!	... Però fallisce!	
DISARM_SUCCESS	and succeeds!	y lo consigue!	и успешно справляется!	e consegue!	und ist erfolgreich!	i udaje się!	a úspěl!	ve başarılı!	e riesce!	
SECRET_DOOR	secret door	puerta secreta	секретная дверь	porta secreta	Geheimtür	sekretne drzwi	skryté dveře	gizli kapı	Porta Segreta	
TRAIT_STR	Strength	Fuerza	Сила	Força	Stärke	Siła	Síla	Kuvvet	Forza	
TRAIT_END	Endurance	Resistencia	Выносливость	Resistência	Ausdauer	Wytrzymałość	Odolnost	Dayanıklılık	Resistenza	
TRAIT_AGI	Agility	Agilidad	Ловкость	Agilidade	Geschicklichkeit	Zwinność	Obratnost	Çeviklik	Agilità	
TRAIT_INT	Intellect	Intelecto	Интеллект	Inteligência	Intellekt	Intelekt	Intelekt	Zeka	Intelletto	
TRAIT_AWA	Awareness	Detección	Внимание	Detecção	Wahrnehmung	Świadomość	Ostražitost	Farkındalık	Coscienza	
TRAIT_PER	Personality	Personalidad	Харизма	Personalidade	Charisma	Charakter	Osobnost	Kişilik	Personalità	
T_STR	STR	FUE	СИЛ	FOR	STÄ	SIŁ	SIL	KUV	FOR 	
T_END	END	RES	ВНС	RES	AUS	WYT	ODO	DAY	RES	
T_AGI	AGI	AGI	ЛВК	AGI	GES	ZWI	OBR	ÇEV	AGI 	
T_INT	INT	INT	ИНТ	INT	INT	INT	INT	ZEK	INT 	
T_AWA	AWA	DET	ВНМ	DET	WAH	ŚWI	OST	FAR	CON	
T_PER	PER	PER	ХАР	PER	CHA	SPO	OSO	KİŞ	PER	
TRAITS	Traits	Rasgos	Свойства	Atributos	Eigensch.	Cechy	Rysy	Özellikler	Attributi	
AVAILABLE_TRAIT_POINTS	Available points	Puntos disponibles	Доступные очки	Pontos disponíveis	Verfügbare Punkte	Dostępne punkty	Dostupné body	Uygun puanlar	Punti disponibili	
TRAIT_POINT_GAINED	Trait point gained!	¡Punto de Rasgo ganado!	Очко свойств получено!	Ponto de atributo ganho!	Eigenschaftspunkte erhalten!	Zdobyto punkt cechy	Získán rysový bod!	Ozellik puanı kazanıldı!	Punto caratteristica ottenuto!	
PROC_STUN	Stun	Aturdir	Oглушить	Atordoar	Betäuben	Ogłusz	Omráčení	Sersemletme	Stordire	
PROC_SLOW	Slow	Ralent.	Замедлить	Devagar	Verlangsamen	Spowolnij	Zpomalení	yavaşlatma	Rallentare	
EFFECT_STUNNED	Stunned	Aturdido	Оглушается	Atordoado	Betäubt	Ogłuszone	Omráčen	Sersemletildi	Stordito	
EFFECT_PARALYZED	Paralyzed	Paralizado	Парализуется	Paralisado	Gelähmt	Spraraliżowane	Paralyzován	felç edildi	Paralizzato	
EFFECT_SLOWED	Slowed	Ralentizado	Замедляется	Lento	Verlangsamt	Spowolnione	Zpomalen	yavaşlatıldı	Rallentato	
DOORS_REMAINING_1	There are still	Todavía quedan	Всё ещё	Ainda há	Es gibt noch	Na tym obszarze	Stále jsou zde	Hala var	Ci sono ancora	
DOORS_REMAINING_2	secret doors somewhere in this area...	puertas secretas en algún lugar de este área...	секретных дверей где-то в этом месте	portas secretas em algum lugar desta área...	Geheimtüren irgendwo in diesem Gebiet...	wciąż są ukryte sekretne drzwi...	tajné dveře v této oblasti...	Gizli kapı buralarda bir yerde...	Porte segrete in questa area...	
DETECTION	Detection	Detección	Обнаружение	Detecção	Entdecken	Wykrycie	Detekce	Fark etme	Rivelazione	
RECALL	Recall	Retorno	назад	Retorno	Rückkehr	Przywołaj	Svolávám	Geri çağırma	Ritorna	
NO_TALK	This person will not talk to you.	Esta persona no quiere hablar contigo.	Этот человек не будет с вами говорить	Esta pessoa não irá falar com você.	Diese Person spricht nicht mit dir.	Ta osoba nie chce z tobą rozmawiać	Tato osoba s tebou nebude mluvit.	Bu kişi seninle konuşmuyor	Questa persona non vuole parlare con te.	
NOT_ALLOWED	You are not allowed inside this building	No se te permite entrar en este edificio	Вам нельзя входить в это здание	Você não é permitido entrar nesse edifício.	Du darfst dieses Gebäude nicht betreten.	Nie możesz wejść do tego budynku	Vstup do této budovy ti není povolen	Bu binaya girmeye iznin yok	Non hai il permesso di entrare in questo edificio	
GAINED_LEVEL	[GREEN]You gained a level![] +{a} Attribute Points, +2 Skill Points	[GREEN]¡Has subido de nivel![] +{a} puntos de Rasgos, +2 puntos de Habilidad.	[GREEN]Вы получили уровень![] +{a} Очка Свойств, +2 Очка Умений	[GREEN]Você subiu de nível![] +{a} Pontos de Atributo, +2 Pontos de Habilidade	[GREEN]Du bist eine Stufe aufgestiegen![] +{a} Eigenschaftspunkte, +2 Fertigkeitspunkte	[GREEN]Zdobyto wyższy poziom![]+{a} punktów zdolności, +2 punkty umiejętności	[GREEN]Dosáhl jsi nové úrovně![] +{a} Bod(y) - Atribut, +2 Bod(y) - Vlastnost	[GREEN]Seviye atladın![] +{a} özellik puanı, +2 yetenek puanı	[GREEN]Sei salito di livello![] +{a} Punti lineamento, +2 Punti Abilità	
INN_TITLE	Inn:	Posada:	Таверна:	Pousada:	Gasthaus:	Karczma	Krčma:	Han:	Taverna:	
GOSSIP_BONUS	Gossip Bonus	Bonus Rumores	Умение слушать	Bônus de Rumor	Gerüchtebonus	Bonus do plotkowania	Bonus k drbání	Söylenti Bonusu	Voci Bonus	
NEST	Egg nest	Nido de huevos	Кладка яиц	Ninho de ovos	Nest mit Eiern	Egg nest	Kokon s vajíčky	Yumurta folu	Nido di uova	
APPLY_POISON	Weapon poisoned	Arma envenenada	Оружие отравлено	Arma envenenada	Waffe vergiftet	Weapon poisoned	Zbraň otrávena	Silaha zehir eklendi	Arma avvelenata	
POISON_WOREOFF	Poison wore off	El veneno se desvanece	Отравление снято	O veneno expirou	Gift hat nachgelassen	Trucizna przestaje działać	Jed přestal být účinný	Zehrin etkisi geçti	Il veleno è svanito	
RESTORE_PURCHASE	Restore purchase	Restaurar compra	Вернуть покупки	Restaurar compra	Kauf wiederherst.	Przywróć płatność	Obnov nákup	Satın alınanları etkinleştir	Ristabilisci acquisto	
REGISTER_NOW	Register now!	Registrar ahora!	Регистрация!	Registrar agora!	Registriere dich jetzt!	Zarejestruj się!	Zaregistruj teď!	Şimdi kaydol!	Registrati ora!	
XP_BONUS	XP Bonus	Bonus de XP	Бонус к ОО	Bônus de XP	XP-Bonus	Bonus do PD	Bonus zkušeností	DEY bonusu	XP Bonus	
XP_BONUS_EFFECT_DESC	<p>With a +{1}% for {2}	<p>Con +{1}% durante {2}	<p>Вместе с +{1}% на {2}	<p>Com +{1}% durante {2}	<p>Mit +{1}% für {2}	<p>z +{1}% za {2}	<p>S +{1}% po {2}	<p>{2} için ile +{1}%	<p>Con +{1}% per {2}	
STAT_DETAILS	Details	Detalles	Детали	Detalhes	Details	Szczegóły	Detaily	Detaylar	Dettagli	
STATS_TITLE	Game Stats	Estadísticas	Статистика	Estatísticas	Spielstatistik	Statystyki gry	Herní statistika	Oyun Bilgileri	Statistiche 	
STATS_ENEMIES	Enemies killed	Enemigos matados	Врагов убито	Inimigos mortos	Feinde getötet	Zabici wrogowie	Nepřátelů zabito	Düşman öldürüldü	Nemici uccisi	
STATS_GOBLINS	Goblins killed	Goblins matados	Гоблинов убито	Goblins mortos	Goblins getötet	Zabite gobliny	Skřetů zabito	Goblin öldürüldü	Goblin uccisi	
STATS_ORCS	Orcs killed	Orcos matados	Орков убито	Orcs mortos	Orks getötet	Zabite orki	Orků zabito	Ork öldürüldü	Orchi uccisi	
STATS_UNDEAD	Undead killed	M. Vivientes mat.	Нежити упокоено	M. Vivos mortos	Untote getötet	Zabici nieumarli	Nemrtvých zabito	Zombi öldürüldü	Non Morti uccisi	
STATS_OUTSIDERS	Outsiders killed	Extraplanares mat.	Остальных убито	Extraterrenos mort.	Außerweltliche getötet		Odpadlíků zabito	Dışlanmış öldürüldü	Ultraterreni uccisi	
SCORE	Score	Puntuación	Счёт	Pontuação	Punktzahl	Punktacja	Skóre	Puan	Punteggio	
RATING_NOT_NOW	Not now	Ahora no	Позже	Agora não	Jetzt nicht	Nie teraz	Ne teď	Şimdi değil	Non ora	
RATING_NEVER	Don't ask again	Nunca me preguntes	Не спрашивать	Não pergunte novamente	Nicht mehr fragen	Nigdy	Neptej se mě znova	Tekrar sorma	Non chiedere di nuovo	
RATING_YES	Yes	Sí	Да	Sim	Ja	Tak	Ano	Evet	Sì	
REGENERATES	begins regenerating!	empieza a regenerarse!	начинает восстанавливаться!	começa a regenerar!	beginnt zu regenerieren!	rozpoczyna regenerację!	Regenerace započata!	iyileşmeye başladı!	inizia a rigenerarsi!	
REGENERATION	Regeneration	Regeneración	Восстановление	Regeneração	Regeneration	Regeneracja	Regenerace	Yenilenme	Rigenerazione	
DISCOVERED_SECRET	You discovered a secret!	Has descubierto un secreto!	Вы обнаружили секрет!	Você descobriu um segredo!	Du hast ein Geheimnis entdeckt!	Odkrywasz sekret!	Objevil jsi tajemství!	Bir sır keşfettin!	Hai scoperto un segreto!	
SECRETS_FOUND	Secrets found	Secretos descub.	Секретов найдено	Segredos encontrados	Geheimnisse entdeckt	Odnalezione sekrety	Tajemství objeveno	Bulunan sırlar	Segreto trovato	
TIME_PLAYED	Time played	Tiempo jugado	Время в игре	Tempo jogado	Spielzeit	Czas gry	Doba hraní	Oynanan süre	Tempo di gioco	
QUESTS_COMPLETED	Quests	Misiones	Заданий	Missões	Aufgaben	Zadania	Úkoly	Görevler	Missioni	
RUMORS	Rumors	Rumores	Слухов	Rumores	Gerüchte	Plotki	Zvěsti	Söylentiler	Voci  	
QUESTS_TH	T. Hall quests	Mis. Ayuntamiento	Заданий ратуши	Missões da Prefeitura	Rathausaufträge	Zadania Ratusza	Radniční úkoly	Kasaba görevleri	Missioni Municipio	
SCORE_XP	XP	XP	ОО	XP	XP	PD	ZK	DEY	XP  	
SCORE_QUESTS	quests	misiones	заданий	missões	Aufgaben	zadania	úkoly	görevler	missioni	
SCORE_TH	town hall	ayunt.	ратуша	prefeitura	Rathaus	ratusz	radnice	Kasaba merkezi	municipio	
SCORE_ACHIEVEMENTS	achiev.	logros	дост.	conquist.	Erfolge	osiągn.	úspěch	başarı	obiettivi	
SCORE_REP	reputation	reput.	репутация	reputação	Reputation	reputacja	reputace	şöhret	reputazione	
SCORE_SECRETS	secrets	secretos	секреты	segredos	Geheimnisse	sekrety	tajemství	sırlar	segreti	
SCORE_DIFFICULTY	other	otros	другое	outros	andere	inne	ostatní	diğer	altri	
QUICKSLOTS	Quick slots	Acc. Rápido	Быст. доступ	Aces. Rápido	Schnellzugriff	Szybkie sloty	Rychlá okénka	Hızlı kullan	Acc. Rapido	
CLEAR	Clear	Borrar	Убрать	Limpar	Löschen	Wyczyć	vyčistit	Temizle	Elimina	
EXTRA_DAMAGE	Extra Damage	Daño extra	Доп. Урон	Dano Extra	Extraschaden	Dodat. obrażenia	Extra poškození	Ek Darbe	Danno extra	
SPECIAL_DAMAGE	Special	Especial	Особый	Especial	Spezial	Specjalne	Speciální	Özel	Speciale	
ITEM_ORCSLAYER	Orc Slayer	Extermina-orcos	Оркорез	Exterminador de Orcs	Orkschlächter	Zabójca orków	Zabiják Orků	Ork Katili	Stermina-orchi	
ITEM_HOLY	Holy	Sagrado	Освящено	Sagrado	Heilig	Święty	Svatý	Kutsal	Sacro	
ITEM_BANISHING	Banishing	Destierro	Изгоняющий	Banimento	Vertreiben	Potępiający	Vymítač	Defeden	Bandisci	
ITEM_SLOW	Slow	Ralentizar	Замедление	Lento	Verlangsamen	Spowalniający	Zpomalit	Yavaşlama	Rallenta	
ITEM_STUN	Stun	Aturdir	Оглушение	Atordoado	Betäuben	Ogłuszający	Omráčení	Sersemletme	Stordisce	
ITEM_PARALYSIS	Paralysis	Paralizante	Паралич	Paralisado	Lähmen	Paraliżujące	Paralýza	Felç etme	Paralizza	
ITEM_BEASTSLAYER	Beast Slayer	Extermina-bestias	Зверобой	Exterminador de Bestas	Biestschlächter	Zabójca bestii	Zabiják zvířat	Canavar Katili	Stermina-bestie	
ITEM_VICIOUS	Vicious	Rematar	Ужасный	Perverso	Bösartig	Bezwzględy	Brutální	Yırtıcı	Violento	
ITEM_ENSNARING	Ensnaring	Ralentizante	Ловец	Ilusório	Verstricken	Usidlający	Lapač	yavaşlatma	Intrappolante	
ITEM_VORPAL	Vorpal	Vorpal	Стрижающий	Vorpal	Tödlich	Piekielnie ostry	Smrtič	vorpal	Mortale	
ITEM_BLESSED	Blessed	Bendecido	Благословенный	Abençoado	Gesegnet	Błogosławiony	Požehnaný	Kutsanmış	Benedetto	
ITEM_COVER	Cover	Cobertura	Покрытие	Cobertura	Schutz	Chroniący	Krytí	Kapsama	Copertura	
ITEM_ARCANE	Arcane	Arcano	Магический	Arcano	Arkan	Tajemniczy	Arkánský	Gizli	Arcano	
ITEM_GOSSIP	Gossip	Amistad	Сплетня	Rumor	Gerücht		Drbání	Dedikodu	Voce	
ITEM_DETECTION	Detection	Detección	Обнаружение	Detecção	Entdecken	Wykrycia	Detekce	bulma	Rivelazione	
ITEM_TINKERING	Tinkering	Mecanismos	Механика	Mecanismos	Entschärfen		Mechanismy	müdahalesi	Armeggiare	
ITEM_WISDOM	Wisdom	Sabiduría	Мудрость	Sabedoria	Weisheit		Moudrost	bilgelik	Saggezza	
ITEM_SILVER	Silver	Plata	Серебряный	Prata	Silbern		Stříbro	Gümüş	Argento	
ITEM_STABILITY	Stability	Estabilidad	Устойчивость	Estabilidade	Stabilität		Stabilita	istikrar	Stabilità	
ITEM_STUNIMMUNITY	Stun immunity	Inmunidad a aturdir	Уст. к оглушению	Imune a atordoar	Immun gegen Betäubung		Imunita k omráčení	Rahatsızlıktan korunma	Immunità a stordimenti	
ITEM_SHIELD	Shield	Escudo	Щит	Escudo	Schild	Tarcza	Štít	Kalkan	Scudo	
ITEM_OFFHAND	Off-hand	M.Izqda.	Другая рука	Mão Esq.	Freihand	Off-hand	Druhá ruka	Off-el	Fuori mano	
DAMAGE_ORCSLAYER	vs. orcs	contra orcos	оркам	contra orcs	gegen Orks	przeciw orkom	proti orkům	Vs orklar	contro orchi	
DAMAGE_HOLY	vs. undead	contra muertos viv.	нежити	contra mortos v.	gegen Untote	przeciw nieumarłym	proti nemrtvým	Karşı undead	contro non morti	
DAMAGE_BEASTSLAYER	vs. Beasts	contra bestias	зверям	contra bestas	gegen Tiere	przeciw bestiom	proti zvířatům	Vs Canavarlara	contro bestie	
DAMAGE_SILVER	vs. Shapechangers	contra cambia-formas	оборотням	contra metamorfos	gegen Gestaltwandler		proti meničům	Vs Shapechangers	contro cambia-forme	
DAMAGE_BANISHING	vs. Outsiders	contra extraplanares	извнешним	contra extra terrenos	gegen Außerweltliche		proti vyděděncům	Dışarıdakilere Karşı	contro ultraterreni	
DAMAGE_VICIOUS	vs. Enemies with less than 30%hp	contra enemigos con menos de 30%hp	врагам, у которых менее 30% ОЗ	contra inimigos com menos de 30% vida	gegen Feinde mit weniger als 30% HP	przeciw wrogom poniżej 30% PŻ	proti nepřátelům s méně než 30% hp	vs.% 30'dan daha düşük hp'li düşmanlar	contro nemici con meno di 30% hp	
DMG	DMG	DAÑ.	УРОН	DAN	SCH	OBR	POŠK	DMG	DAN	
GOLD	gold	oro	золото	ouro	Gold	złoto	Zlaťáky	altın	oro	
MISSED	Missed!	Fallo!	Промах!	Errou!	Daneben!	Pudło!	Minul!	Kaçırılan!	Mancato!	
WEAPON_2HANDED	2-Handed	Dos Manos	Двуручное	Duas mãos	Beidhändig	Dwu-ręczny	Dvojruční	2-El	A 2 Mani	
WEAPON_LIGHT	Light 	Ligera	Лёгкое	Leve	Leicht	Lekki	Lehká	ışık	Leggero	
WEAPON_RANGED	Ranged	A distancia	Стрелковое	À distância	Distanz	Zasięgowy	Střelná	Dönüşümlü	A distanza	
CRIT	Crit	Crit	Крит.	Crit	Krit	Kryt	Kritický	Crit	Crit	
MASSIVE_CRIT	Massive Critical	Crítico Masivo	Тяжёлые раны	Crítico Massivo	Krit. Volltreffer	Potężny kryt.	Masivní kritický	Muazzam kritik	Critico Massivo	
NONE	None	Ninguno	Ничего	Nenhum	Nichts	Brak	Žádný	Yok	Nessuno	
LEARN_SKILL	Learning this skill will allow you to spend Skill Points on it.	Aprender esta habilidad permite gastar puntos en mejorarla.	Изучение этого умения позволит вам тратить на него ОА.	Aprender essa habilidade permitirá gastar pontos para melhorá-la.	Wenn du diese Fertigkeit erwirbst, kannst du Fertigkeitspunkte dafür einsetzen.	Nauczenie się tej umiejętności pozwoli ci na rozwijanie jej za pomocą punktów Umiejętności.	Naučení se této vlastnosti vyžaduje použití bodu vlastnosti.	Bu beceriyi öğrenmek Üzerinde Yetenek Puanları'nı harcamanıza izin verecektir.	Apprendere questa abilità ti permette di usare punti per migliorarla.	
LEARN	Learn	Aprender	Изучить	Aprender	Erlernen	Naucz się	Naučit se	öğrenmek	Apprendi	
REQUIRES	Requires	Requisitos	Требуется	Requer	Benötigt	Wymaga	Vyžaduje	gerektirir	Requisiti	
COST	Cost	Coste	Стоит	Custa	Kosten	Koszt	Cena	Maliyet	Costo	
CASTING_COST	Casting	Coste	Стоит	Conjurar	Kosten	Rzucanie	Kouzlení	Döküm	Lancia	
SKILL_REQUISITES_ERROR	You don't meet the trait or skill prerequisites to train this skill.	No cumples con los requisitos para entrenar esta habilidad.	У вас недостаточно очков свойств или умений для изучения	Você não tem os pré requisitos para treinar essa habilidade.	Du erfüllst nicht die Voraussetzungen, um diese Fertigkeit zu erwerben.	Nie posiadasz cechy lub umiejętności, aby się tego nauczyć.	Nesplňuješ rysové či vlastnostní předpoklady pro trénování této vlastnosti.	Bu yeteneği eğitmek için gereken nitelik veya beceri ön koşullarını yerine getirmiyorsunuz.	Non soddisfi i requisiti per imparare questa abilità.	
DODGED	Dodged!	Esquivado!	Уклонение!	Esquivou!	Ausgewichen!	Unik!	Uhnul!	Kaçtı!	Schivato!	
EFFECT_GAS	expels toxic gas!	expulsa gas tóxico!	выпускает ядовитый газ!	expele gás tóxico!	verströmt Giftgas!	neutralizuje toksyczny gaz!	vyloučil jedovatý plyn!	Toksik gaz çıkarıyor!	espelle gas tossico!	
LOG_PARTIAL_RESIST	partially resists an effect	resiste un efecto parcialmente	частично избежал действия эффекта	resiste a um efeito parcialmente	widersteht teilweise einem Effekt		částečně odolal efektu	Kısmen birine karşı direnir	resiste parzialmente un effetto	
LOG_RESIST	resists an effect	resiste un efecto	избежал действия эффекта	resiste a um efeito	widersteht einem Effekt		odolal efektu	Bir etkiye karşı koyar	resiste un effetto	
LOG_FAILED_RESIST	fails to resist an effect!	no consigue resistir un efecto!	не избежал действия эффекта!	falha ao resistir a um efeito!	schafft es nicht, einem Effekt zu widerstehen!		selhal při odolávání efektu!	Bir etkiye direnemez!	fallisce a resistere un effetto!	
LOG_IS	is	está		está	ist	jest	je	olduğu	è	
FLANKED	Flanked	Flanco	Cбоку	Flanqueado	Flankiert		Do zad	flanked	Fiancheggiato	
ANKH_CONSUMED	Ankh consumed!	Ankh consumido!	Анкх использован!	Ankh consumido!	Ankh eingesetzt!	Ankh użyty!	Ankh použit.	Ankh tüketildi!	Ankh consumato!	
INTERRUPTED	Interrupted!	¡Interrumpido!	Прервано!	Interrompido!	Unterbrochen!	Przerwano!	Přerušen!	Kesildi!	Interrotto!	
DONATE	Donate	Donación	Донат	Doação	Spenden	Wesprzyj	Přispěj	bağışlamak	Dona	
SUMMONED	Summoned	Convocado	Призывается	Convocado	Herbeigerufen	Przyzwano	Přivolán	İçin Toplandı	Evocato	
DISMISSED	Dismissed	Desconvocado	Уволен	Dispersado	Entlassen	Odesłano	Odvolán	İşten	Congedato	
REQ	Req.	Req.	Треб.	Req.	Vor.	Wymag.	Pož.	Gereksinimi.	Req,	
FATIGUED	Fatigued	Fatigado	Усталость	Cansado	Ermüdet	Fatigued	Vyčerpaný	yorgun	Affaticato	
STAB	Stab!	Apuñalar!	Внезапный удар!	Apunhalar!	Stoß!	Dźgnięcie!	Bodl!	Stab!	Pugnala!	
LOCATION_REGION	somewhere in ##REGION##	en algún lugar de ##REGION##	где-то в области ##REGION##	em algum lugar de ##REGION##	irgendwo in ##REGION##	gdzieś w ##REGION##	někde v ##REGION##	##REGION## bir yerde	da qualche parte in ##REGION##	
LOCATION_AREA	in ##AREA##	en ##AREA##	в области ##AREA##	em ##AREA##	in ##AREA##	w ##AREA##	v ##AREA##	##AREA##	in ##AREA##	
LOCATION_DUNGEON	inside ##DUNGEON##	en ##DUNGEON##	внутри ##DUNGEON##	em ##DUNGEON##	innerhalb von ##DUNGEON##	w ##DUNGEON##	uvnitř ##DUNGEON##	Içinde ##DUNGEON##	nel ##DUNGEON##	
SETTINGS_UI_LOWER	Lower UI margin	Margen inferior de los mandos	Панель управления от низа	Margem inferior da IU	Unterer Schaltflächenabstand	Marginesy interfejsu (góra i dół)	Spodní odsazení	Alt UI kenar boşluğu	Margine inferiore dei comandi	
SETTINGS_UI_SIDES	Sides UI margin	Margen lateral de los mandos	Панель управления от краёв	Margens laterais da IU	Seitlicher Schaltflächenabstand	Marginesy interfejsu (boki)	Boční odsazení	Tarafların UI marjı	Margine laterale dei comandi	
CONTROLLER_SETUP	Controller Setup	Configurar Mandos	Настройка контроллера	Configurar Controles	Controller konfigurieren	Ustawienia kontrolera	Nastavení ovládání	Denetleyici Ayarı	Configurazione Comandi	
CONTROLLER_CHOOSE_COMMAND	Click on a command to set it up.	Pulsa en un comando para asignarlo.	Нажмите на команду, чтобы настроить.	Toque um comando para o configurar	Tippe auf ein Kommando, um es auszuwählen.	Wybierz polecenie, aby zmienić przypisany klawisz	Klikněte na příkaz pro jeho nastavení	Bir komutu kurmak için üzerine tıklayın.	Premi un comando per assegnarlo	
CONTROLLER_PRESS	Please click your controller button for:	Por favor, pulsa el botón de tu mando para:	Нажмите кнопку контроллера чтобы:	Por favor, aperte o botão no seu controle para:	Betätige bitte deinen Controllerknopf für:	Wciśnij przycisk kontrolera dla klawisza:	Vyberte ovládací tlačítko pro:	Lütfen kontrol düğmesini tıklattığınızda:	Per favore, premi il pulsante dei comandi per:	
CONTROLLER_PRESS_UP	Move Up	Mover Arriba	Двигаться вверх	Cima	Nach oben	W górę	Pohyb nahoru	Yukarı Taşı	Muovi Su	
CONTROLLER_PRESS_DOWN	Move Down	Abajo	Двигаться вниз	Baixo	Nach unten	W dół	Pohyb dolů	Aşağı inmek	Muovi Giù	
CONTROLLER_PRESS_LEFT	Move Left	Izquierda	Двигаться влево	Esquerda	Nach links	W lewo	Pohyb vlevo	Sola hareket et	Sinistra	
CONTROLLER_PRESS_RIGHT	Move Right	Derecha	Двигаться вправо	Direita	Nach rechts	W prawo	Pohyb vpravo	Sağa hareket et	Destra	
CONTROLLER_PRESS_ATTACK	Attack / Take All	Atacar/Coger Todo	Атака / Взять всё	Atacar/Pegar Tudo	Angriff/Aufnehmen	Atakuj / Weź wszystko	Útok/Vzít vše	Saldır / Hepsini Al	Attacco/Pr. tutto	
CONTROLLER_PRESS_BACK	Back / Escape	Atrás / Salir	Назад / Выход	Voltar/Sair	Zurück/Beenden	Wróć / Wyjdź	Zpět/Útěk	Geri / Kaçış	Indietro/Esci	
