tag	english	spanish	RU	PT	DE	PL	CZ	TR	IT	FR
ALCHEMIST_JEANNE	Alchemist Jeanne	Alquimista Niisa	Алхимик Жанна		
TRADER_GREEK	Trader Greek	Pink	Торговец Грек		
HANDMAIDEN	Handmaiden	handmaiden	Служанка		
WIZARD	Wizard	Wizard	Волшебник		
COACHMAN	Coachman	Comerciante Hardin	Ямщик		
J8_2_INN	Islet of Tranquility	El Descanso de Sagar	Островок Спокойствия		
TRADER_TRANSPARENT	Trader Transparent	Comerciante Pink	Торговец Прозрачный
DEAD_BOATMAN	Dead Boatman	Barquero Orrus	Дохлый лодочник
BOATMAN_HADOR	Boatman Hador	Barquero Orrus	Лодочник Хадор
CAPTAIN_BLOODSILVER	Captain Bloodsilver	Capitán Bloodsilver	Капитан Блудсилвер
ALBENO_IGDRIS	Albeno Igdris	Comerciante Hardin	Албено Игдрис		
INVENTOR_HERMES	Inventor Hermes	Capitán Whitewater	Изобретатель Гермес
BOATMAN_GERASIM	Boatman Gerasim	Barquero Orrus	Лодочник Герасим
INNKEEPER	Innkeeper	Innkeeper	Трактирщик		
VISITOR	Visitor	Visitor	Посетитель		
ANIMALLOVER	Animal Lover	animal lover	Животник		
TRADER_CAMILLA	Trader Camilla	Pink	Торговка Камилла		
CAPTAIN_RIBBONHAIR	Captain Ribbonhair	Capitán Ribbonhair	Капитан Риббонхэир
LIGHTHOUSE_KEEPER	Lighthouse Keeper	Pink	Смотритель Маяка		
J8_12_INN	Old Barge	El Descanso de Sagar	Старая Баржа		
ALCHEMIST_RUSLAN	Alchemist Ruslan	Alquimista Niisa	Алхимик Руслан		
ARMORER_GRETA	Armorer Greta	Comerciante Hardin	Оружейник Грета		
TRADER_NORIS	Trader Noris	Pink	Торговка Норис		
SORCERESS_MAGNOLIA	Sorceress Magnolia	Pink	Чародейка Магнолия		
SORCERESS_BEATRICE	Sorceress Beatrice	Pink	Чародейка Беатриса		
WEAPONSMITH_HILT	Weaponsmith Hilt	Herrero	Кузнец Хилт		
CAPTAIN_WINTERCALM	Captain Wintercalm	Capitán Ribbonhair	Капитан Винтеркалм
AGNIUS_NORTHSON	Agnius Northson	Pink	Агний Нортсон		
IRMA_PROINT	Supreme Priestess Irma Proint	Pink	Верховная жрица Ирма Проинт		
PRIEST_MASTAF	Supreme Priest Mastaf Proint	Pink	Верховный жриц Мастаф		
GEDEON_HUMBLE	Highest Priest Gedeon Humble	Pink	Первосвященник Гедеон Смиренный		
WHITEHARE	Whitehare	Herrero	Беляшик		
SERGEANT_WINTERCALM	Sergeant Wintercalm	Sergeant Ribbonhair	Сержант Винтеркалм
CAPTAIN_DOOMALONE	Captain Doomalone	Capitán Doomalone	Капитан Думалон
RANGER_HUGHINGE	High Ranger Hughinge	High Ranger Hughinge	Старший егерь Хагхендж
RANGER	Ranger	Ranger	Егерь
FOREST_RANGER	Forest Ranger	Ranger	Лесник
J8_14_INN	Warm Hearth	El Descanso de Sagar	Тёплый Очаг		
J8_14_INN2	Crystal Cup	El Descanso de Sagar	Хрустальная Чара		
GOOD_PARASITE	Good Parasite	Hardin	Добрый Паразит		
FREEPORT_INN	Sea Rose	El Descanso de Sagar	Морская Роза		
TRADER_USMAN	Trader Usman	Usman	Торговец Усман		
WEAPONSMITH_MARYAM	Armorer Maryam	Comerciante Maryam	Оружейник Марьям		
LEGIONNAIRE_GHALIB	Legionnaire Ghalib	Legionario Ghalib	Легионер Галиб		
LEGIONNAIRE_DARIA	Legionnaire Daria	Legionario Daria	Легионер Дария		
LEGIONNAIRE_SALMA	Legionnaire Salma	Legionario Salma	Легионер Сальма		
BOATMAN_ZEID	Boatman Zeid	Barquero Zeid	Лодочник Зейд
LEGIONNAIRE_ALIA	Legionnaire Alia	Legionario Alia	Легионер Алия		
PRAETOR_ZAFIRA	Praetor Zafira	Praetor Zafira	Претор Зафира		
OMAR	Omar	Omar	Омар		
ISABOT	Isabot	Isabot	Изабот		
BRAWLEY_VEITCH	Brawley Veitch	Brawley Veitch	Броули Вейт		
PERCIVAL	Percival Stickitail	Percival Stickitail	Персиваль Стикитеил		
ELL	Sorceress Ellery	Sorceress Ellery	Волшебница Эллери		
WINDCHASER	Magister Windchaser	Magister Windchaser	Магистр Виндчейзер		
SHOWCASE	Showcase	Showcase	Витрина		
ARTISAN_JEANNE	Artisan Jeanne	Showcase	Ремесленница Жанна		
BANDIT	Bandit	Bandit	Бандит		
ONEEYED_WILL	One-eyed Will	Will	Одноглазый Уилл		
HUCKSTER_MARTY	Huckster Marty	Marty	Барыга Марти		
TRADER_OLIVIA	Trader Olivia	Pink	Торговка Оливия		
RENTED_ROOM	Rented Room	room	Съемная комната		
MUSHROOMER	Mushroomer	mushroomer	Грибник		
GREEN_DOG	Talking green dog	talking green dog	Говорящая зелёная собака		
BRIDGE	Bridge	Bridge	Мост		
CLEFT	Cleft	Cleft	Расщелина		
ELIZAR	Elizar	Elizar	Елизар		
BALDWIN	Baldwin	Baldwin	Болдуин		
PILE_MUD	Pile mud	Elizar	Куча грязи		
MAGIC_SEAL	Magic Seal	magic seal	Магическая печать		
HUGH	Hugh	Hugh	Хью		
ANIKA	Anika	anika	Аника		
MAURICE	Maurice	Maurice	Морис		
CATHRINE	Catherine	catherine	Кэтрин		
PIRATE	Pirate	Pirate	Пират		
MAID	Maid	Maid	Прислуга		
COOK	Cook	Cook	Повар		
BUTLER	butler	butler	Дворецкий		
GUARDMASTER	Guardmaster	Guardmaster	Начальник стражи		
MUNDRICK	Mundrick	Mundrick	Мундрик		
PORTAL	Portal	portal	Портал		
HIGHLANDER	Highlander	Highlander	Горец		
ELDER_HIGHLANDER	Elder Highlander	Elder Highlander	Старейшина горцев		
LEORIC	Poet Leoric	Poet Leoric	Поэт Леорик		
HERMIT_WIZARD	Hermit wizard	hermit wizard	Отшельник-волшебник		
RUSTHATCHET	Lady Rusthatchet	Lady Rusthatchet	Госпожа Растхачет		
FLOWERS	Flowers	flowers	Цветы		
MAGISTER	Magister	Magister	Магистр		
DOM	Dominick	Dominick	Доминик		
HONORARY_GUARDIAN	Honorary Guardian	Honorary Guardian	Почётный страж		
DISCIPLE_HANK	Disciple Hank	Disciple	Послушник Хэнк		
RUINS	Ruins	ruins	Руины		
R9_INN	Forest Shelter	El Descanso	Лесной Приют		
TRADER_MARIOTTA	Trader Mariotta	Pink	Торговка Мариотта		
DOROTHY	Dorothy	Dorothy	Дороти		
SAILOR_BO	Sailor Bo	Sailor Bo	Морячка Бо		
CHARLOTTE	Charlotte	Charlotte	Шарлотта		
VOCALIST	Flame-Fueled Vocalist	vocalis	Пламязаправленный Вокалёр		
COMMANDANT	Commandant	commandant	Комендант		
DUCK_TAIL	Duck Tail	Duck Tail	Утинный Хвост		
GIGI	Gigi	Gigi	Джиджи		
SERUNUS	Serunus	Serunus	Серунус		
WINALWAYS	Winalways	Winalways	Виналвейс		
TILE	Tile	Tile	Плитка		
DRAGON_SHENRON	Dragon Shenron	Dragon	Дракон Шенрон		
INTERPRISE	Baron Enterprise	Baron Enterprise	Барон Интерпрайс		
HARLOT_GUIDE	Harlot Guide	Guide	Блудница Проводница		
SLAVE	Slave	Slave	Раб		
OVERSEER	Overseer	Overseer	Надзиратель		
WEAPONSMITH_ALMA	Armorer Alma	Comerciante Alma	Оружейник Альма		
ALCHEMIST_KALISSA	Alchemist Kalissa	Alquimista Kalissa	Алхимик Калисса		
LEGIONNAIRE_KILLET	Legionnaire Killet	Legionario Killet	Легионер Киллет		
PRAETOR_NAZIRA	Praetor Nazira	Praetor Nazira	Претор Назира		
C7_INN	Last Tide	El Descanso de Sagar	Последний Прилив		
BONANNO	Bonanno	Bonanno	Бонанно		
GINNY	Ginny	Ginny	Джинни		
STEPHANIE	Stephanie	Stephanie	Стефани		
FRANK	Frank	Frank	Фрэнк		
FISHERMAN	Fisherman	Fisherman	Рыбак		
SAILOR	Sailor	sailor	Моряк		
SYLVIA	Sylvia	Sylvia	Сильвия		
BORKMUK	Borkmuk	Borkmuk	Боркмук		
RAEGAR	Raegar	Raegar	Рэйгар		
FENDRICK	Captain Fendrick	Captain Fendrick	Капитан Фендрик		
GWEN	Gwen	Gwen	Гвен		
GHOST	Ghost	Ghost	Призрак		
KASPAR	Magister Kaspar	Magister Kaspar	Магистр Каспар		
TRADER_LADONNA	Trader Ladonna	Trader Ladonna	Торговка Ладонна		
HUNT_MOON	Hunting Moon	Hunting Moon	Охотничья Луна		
PRIEST	Priest	Priest	Священник		
SHANSON	Chansonnier	Chansonnier	Шансонье		
GHOSTLY	Ghostly Operaplayer	Ghostly Operaplayer	Призрачный Оперист		
DRUID	Druid	Druid	Друид		
N6_INN	Dead Calm	El Descan	Мертвый Штиль		
ALCHEMIST_MAYA	Alchemist Maya	Alquimista Maya	Алхимик Майя		
ARMORER_ERICA	Armorer Erica	Erica	Оружейник Эрика		
CAPTAIN_GOODWHIP	Captain Goodwhip	Capitán Goodwhip	Капитан Гудвип
SERGEANT_TOMIRIS	Sergeant Tomiris	Sergeant Tomiris	Сержант Томирис
HERMIT	Hermit	Hermit	Отшельник		
GUARDMASTER_TITUS	Guardmaster Titus	Guardmaster	Начальник стражи Тит		
GOVERNOR_BLACKTORN	Governor Blackthorn	Gobernador Blackthorn	Губернатор Блэкторн		
SERGEANT_LEVON	Sergeant Levon	Sergeant Levon	Сержант Левон
SERGEANT_COLUMBINE	Sergeant Columbine	Sergeant Columbine	Сержант Коломбина
CAPTAIN_BRENNA	Captain Brenna	Capitán Brenna	Капитан Бренна
ALARION	Alarion	Alarion	Аларион		
HAVIS	Havis	Havis	Хавис		
EVELINA	Evelina Lightwind	Evelina Lightwind	Эвелина Лайтвинд		
BERNADETTE	Bernadette	Bernadette	Бернадет		
NEWFAGE	Newfage	Newfage	Ньюфаг		
SERGEANT_AUGUST	Sergeant Augustus	Sergeant Augustus	Сержант Август
SERGEANT_MARTINA	Sergeant Martina	Sergeant Martina	Сержант Мартина
SERGEANT_RENE	Sergeant Rene	Sergeant Rene	Сержант Рене
CAPTAIN_BERTHA	Captain Bertha	Capitán Bertha	Капитан Берта
HERALD	Herald	Herald	Глашатай		
ASSISTANT	Assistant	Assistant	Ассистент		
ROYAL_GUARD	Royal Guard	Royal Guard	Королевская Стража		
BEGGAR	Beggar	beggar	Нищий		
RAPPER	Rapper	Rapper	Рэпер		
MUSICIAN	Musician	Musician	Музыкант		
BARTENDER	Bartender	Bartender	Бармен		
THREEBAG	ThreeBag	ThreeBag	Фрибэг		
THIEFCATT	ThiefCatt	Thiefcatt	Тиф Кэтт		
30COINS	30Coins	30Coins	30Коинс		
N_N	N&N	N&N	Н&Н		
FIREBALL	Fire Ball	Fire Ball	Файер Болл		
VINCE	Vince	Vince	Винс		
KAI	Kai	Kai	Кай		
EVIL_ELF	Evil Elf	Evil Elf	Злобный эльф		
FUR_TREE	Fur	Fur	Ель		
SKUF	Adaon-Skuf	Adaon-Skuf	Адаон скуф		
EUNUCH	Adaon-Eunuch	Adaon-Eunuch	Адаон евнух		
ADAON_DEAD	Adaon-Deadman	Adaon-Deadman	Адаон мертвец		
ADAON_SLAVE	Adaon-Slave	Adaon-Slave	Адаон раб		
LEGION	Adaon-Legionnaire	Adaon-Legionnaire	Адаон легионер		
BANDIT_AMBUSH	Bandit is in ambush	Bandit is in ambush	Бандит в засаде		
GOBLIN_AMBUSH	Goblin is in ambush	Goblin is in ambush	Гоблин в засаде		
ORC_AMBUSH	Orc is in ambush	Orc is in ambush	Орк в засаде		
ISA	Isa	Isa	Иса		
